Hours_Awake,Decisions_Made,Task_Switches,Avg_Decision_Time_sec,Sleep_Hours_Last_Night,Time_of_Day,Caffeine_Intake_Cups,Stress_Level_1_10,Error_Rate,Cognitive_Load_Score,Decision_Fatigue_Score,Fatigue_Level,System_Recommendation,Years_at_Company,Self_Reported_Sleep_Quality,Break_Room_Entry_Count,Water_Dispenser_Refills,Vending_Machine_Sugar_Purchases,Corporate_Gym_Entry_Mins,Peer_Collaboration_Pings,Mid_Shift_Mood_Score,Anomaly_Cohort,Decision_Density,Hydration_Ratio,Sleep_Deficit,Fatigue_Risk_Index,Experience_Group,Sleep_Group,Gym_Group,Stress_Group,Caffeine_Group,PCA_1,PCA_2,Cluster_ID,Behavioural_Archetype
7,28,7,2.3,5.8,Evening,0,2.4,0.0,2.6,15.6,Low,Continue,3.5,Fair,4,3,5,0,22,5.0,Expected trend,4.0,3.0,2.2,7.0200000000000005,Mid-level (3-7),Adequate Sleep,No Activity,Low,Low,-1.11862928876079,-0.2516852759316616,1,Low Engagement
15,77,22,3.65,4.5,Afternoon,3,1.9,0.0661999999999999,4.5,97.3,High,Take Break,8.6,Poor,3,5,2,67,16,5.0,Expected trend,5.133333333333334,1.25,3.5,36.13,Senior (7-15),Poor Sleep,High Activity,Low,Medium,2.8241738856531806,-2.400092906616082,0,Stressed / Isolated
11,57,23,3.67,6.8,Night,2,2.1,0.0,4.1,55.4,Medium,Slow Down,10.2,Fair,2,9,5,0,54,1.0,Expected trend,5.181818181818182,3.0,1.2000000000000002,20.974999999999994,Senior (7-15),Adequate Sleep,No Activity,Low,Medium,2.0268920389818437,2.9115270723142377,2,Collaborative / Balanced
8,39,10,2.39,5.3,Afternoon,1,1.0,0.0,2.3,29.7,Low,Continue,6.3,Fair,0,7,4,55,26,4.0,Expected trend,4.875,3.5,2.7,11.645,Mid-level (3-7),Adequate Sleep,High Activity,Low,Low,-1.08180916733022,-0.014920413286823395,1,Low Engagement
7,46,16,3.05,8.2,Night,1,2.8,0.0,3.9,19.1,Low,Continue,6.0,Excellent,1,4,5,21,38,3.0,Expected trend,6.571428571428571,2.0,0.0,8.165000000000001,Mid-level (3-7),Good Sleep,Moderate Activity,Low,Low,-0.11831066842571952,2.3599783171256834,2,Collaborative / Balanced
11,43,17,3.04,7.2,Afternoon,1,3.1,0.0,4.0,40.9,Medium,Slow Down,6.4,Fair,0,6,4,0,47,5.0,Expected trend,3.909090909090909,3.0,0.7999999999999998,16.049999999999997,Mid-level (3-7),Good Sleep,No Activity,Medium,Low,0.2779078899537141,1.7031931773633215,2,Collaborative / Balanced
11,57,19,4.31,6.2,Evening,2,1.0,0.0,3.3,54.2,Medium,Slow Down,10.0,Good,2,4,1,25,14,4.0,Expected trend,5.181818181818182,1.3333333333333333,1.7999999999999998,20.24,Senior (7-15),Adequate Sleep,Moderate Activity,Low,Medium,0.6217743528291289,-0.17512425081896596,2,Collaborative / Balanced
4,18,3,1.73,6.8,Afternoon,1,1.4,0.0,1.5,0.0,Low,Continue,2.4,Poor,2,7,5,54,19,4.0,Expected trend,4.5,3.5,1.2000000000000002,0.8900000000000001,New (0-3),Adequate Sleep,High Activity,Low,Low,-2.640680367354185,0.26866116063301515,1,Low Engagement
8,35,8,0.79,6.0,Night,2,4.3,0.0,4.0,18.8,Low,Continue,2.5,Poor,2,10,5,0,50,5.0,Expected trend,4.375,3.3333333333333335,2.0,8.855,New (0-3),Adequate Sleep,No Activity,Medium,Medium,-0.48497897154154324,1.417952381534095,1,Low Engagement
3,9,2,1.11,8.0,Night,2,2.7,0.0,2.0,0.0,Low,Continue,1.6,Fair,2,10,5,47,14,5.0,Expected trend,3.0,3.3333333333333335,0.0,1.0750000000000002,New (0-3),Good Sleep,High Activity,Low,Medium,-3.1572481480436307,0.45261074996011547,1,Low Engagement
